id,name,type,cmc,year,id_white,id_blue,id_black,id_red,id_green,standard_legal,commander_legal,modern_legal,pioneer_legal,legacy_legal,pauper_legal,reserved,reprint,rarity,edhrec_rank,power,toughness,last_set,prices
2719516a-7a47-413e-b1a3-15543d229e08,Ali from Cairo,Creature — Human,4,2011,False,False,False,True,False,False,True,False,False,True,False,True,True,rare,15971,0,1,Masters Edition IV,
af266eec-e61b-4bda-be7f-3a5a59eee864,All Hallow's Eve,Sorcery,4,2009,False,False,True,False,False,False,True,False,False,True,False,True,True,rare,12463,-1,-1,Masters Edition III,
2398892d-28e9-4009-81ec-0d544af79d2b,Ancestral Recall,Instant,1,2014,False,True,False,False,False,False,False,False,False,False,False,True,True,mythic,18881,-1,-1,Vintage Masters,
bb3920ac-7d61-494e-b7dd-bd37d4dee143,Angus Mackenzie,Legendary Creature — Human Cleric,3,2009,True,True,False,False,True,False,True,False,False,True,False,True,True,rare,8450,2,2,Masters Edition III,
8c78d392-9f2f-4241-9a10-6ac9b1e86154,Ardent Militia,Creature — Human Soldier,5,2003,True,False,False,False,False,False,True,True,False,True,True,False,True,uncommon,19285,2,5,Eighth Edition,
55552a2b-1861-4235-a60d-ccabb4839d54,Aura Graft,Instant,2,2007,False,True,False,False,False,False,True,True,False,True,False,False,True,uncommon,12273,-1,-1,Tenth Edition,
73403d04-fe97-4830-8b80-16dd1a1a6cc1,Badlands,Land — Swamp Mountain,0,2014,False,False,True,True,False,False,True,False,False,True,False,True,True,rare,548,-1,-1,Vintage Masters,
bd7567df-b4d8-41a8-8eac-c05afa784bfe,Bayou,Land — Swamp Forest,0,2014,False,False,True,False,True,False,True,False,False,True,False,True,True,rare,480,-1,-1,Vintage Masters,
c88acaa8-ad4d-4321-a6f6-9361916e5b5e,Bazaar of Baghdad,Land,0,2014,False,False,False,False,False,False,True,False,False,False,False,True,True,mythic,5937,-1,-1,Vintage Masters,
c86f0453-f4ea-4f31-8076-e01c118b0f3d,Behemoth Sledge,Artifact — Equipment,3,2017,True,False,False,False,True,False,True,True,False,True,False,False,True,uncommon,2625,-1,-1,Commander 2017,
bd8fa327-dd41-4737-8f19-2cf5eb1f7cdd,Black Lotus,Artifact,0,2014,False,False,False,False,False,False,False,False,False,False,False,True,True,mythic,19719,-1,-1,Vintage Masters,
5a7a212e-e0b6-4f12-a95c-173cae023f93,"Brisela, Voice of Nightmares",Legendary Creature — Eldrazi Angel,11,2016,True,False,False,False,False,False,True,True,True,True,False,False,False,mythic,17351,9,10,Eldritch Moon,
5e8416b8-aae1-4599-9e22-650dd86aefcb,Candelabra of Tawnos,Artifact,1,2011,False,False,False,False,False,False,True,False,False,True,False,True,True,rare,6579,-1,-1,Masters Edition IV,
f2edb3a6-8506-4885-b332-eca381940ce8,Chains of Mephistopheles,Enchantment,2,2007,False,False,True,False,False,False,True,False,False,True,False,True,True,rare,6528,-1,-1,Masters Edition,
7a601041-926f-40fd-8106-39099b87806f,Chaos Orb,Artifact,2,1993,False,False,False,False,False,False,False,False,False,False,False,True,True,rare,20000,-1,-1,Unlimited Edition,
70b94f21-4f01-46f8-ad50-e2bb0b68ea33,Chittering Host,Creature — Eldrazi Horror,7,2016,False,False,True,False,False,False,True,True,True,True,True,False,False,common,20000,5,6,Eldritch Moon,
cfd5c243-2a40-4ba8-ad00-715f52eeda62,City in a Bottle,Artifact,2,2014,False,False,False,False,False,False,True,False,False,True,False,True,True,mythic,17669,-1,-1,Vintage Masters,
37ccc3ab-9875-4bd2-bdbd-e3af5e01d682,Diamond Valley,Land,0,2007,False,False,False,False,False,False,True,False,False,True,False,True,True,rare,8240,-1,-1,Masters Edition,
ad806d67-4c98-438b-859f-b1358281e09d,Disposal Mummy,Creature — Zombie Jackal,3,2017,True,False,False,False,False,False,True,True,True,True,True,False,False,common,15143,2,3,Hour of Devastation,
588f1bc5-2230-4437-8d5e-a18f6e55b390,Drop of Honey,Enchantment,1,2011,False,False,False,False,True,False,True,False,False,True,False,True,True,rare,13592,-1,-1,Masters Edition IV,
71725234-14fa-4a29-9efc-6dd2366d9798,Eureka,Sorcery,4,2014,False,False,False,False,True,False,True,False,False,True,False,True,True,mythic,10807,-1,-1,Vintage Masters,
1eff81c4-c402-437d-aace-dfe875d9857d,Exotic Curse,Enchantment — Aura,3,2010,False,False,True,False,False,False,True,False,False,True,True,False,True,common,17209,-1,-1,Duel Decks: Phyrexia vs. the Coalition,
b1199596-ae77-4192-ae70-3e2ebd009b64,Facet Reader,Creature — Human Wizard,2,2020,False,True,False,False,False,True,True,True,True,True,True,False,False,common,19756,1,2,Ikoria: Lair of Behemoths,
3fea3941-ece4-4219-8ad9-cf6a97533aeb,Feral Shadow,Creature — Nightstalker,3,1999,False,False,True,False,False,False,True,False,False,True,True,False,True,common,17536,2,1,Starter 1999,
3923708a-60b8-4fb0-beb2-9ab18f5fd381,Firesong and Sunspeaker,Legendary Creature — Minotaur Cleric,6,2018,True,False,False,True,False,False,True,True,True,True,False,False,False,rare,4793,4,6,Dominaria,
25b0b816-0583-44aa-9dc5-f3ff48993a51,Gaea's Cradle,Legendary Land,0,1998,False,False,False,False,True,False,True,False,False,True,False,True,False,rare,643,-1,-1,Urza's Saga,
df3bc33f-23f8-4eb4-a70e-b8b7af5b40f6,Gauntlet of Might,Artifact,4,2011,False,False,False,True,False,False,True,False,False,True,False,True,True,rare,5795,-1,-1,Masters Edition IV,
1e14cf3a-3c5a-4c22-88d1-1b19660b2e2a,Ghazbán Ogre,Creature — Ogre,1,2007,False,False,False,False,True,False,True,False,False,True,True,False,True,common,18178,2,2,Masters Edition,
ba72c564-0ca6-4f52-b19a-175646965291,Gifts Given,Instant,4,2007,False,True,False,False,False,False,False,False,False,False,False,False,False,rare,20000,-1,-1,Happy Holidays,
