id,name,type,cmc,year,id_white,id_blue,id_black,id_red,id_green,standard_legal,commander_legal,modern_legal,pioneer_legal,legacy_legal,pauper_legal,reserved,reprint,rarity,edhrec_rank,power,toughness,last_set,prices
2955a257-302c-48df-9eec-8561cbc8374c,Storm Crow,Creature — Bird,2,2020,False,True,False,False,False,False,True,True,False,True,True,False,True,common,10485,1,2,Mystery Booster Retail Edition Foils,0.35
3c97d419-6fee-4a32-9e64-8a827da59934,Wyluli Wolf,Creature — Wolf,2,2007,False,False,False,False,True,False,True,False,False,True,True,False,True,common,13076,1,1,Masters Edition,14.1
ef772879-44aa-428d-8c12-50d38f8bac80,Palinchron,Creature — Illusion,7,2014,False,True,False,False,False,False,True,False,False,True,False,True,True,rare,2114,4,5,Vintage Masters,26.49
0b4cc234-f6b7-4801-a6d0-c98b72f446cf,Wei Strike Force,Creature — Human Soldier,3,2009,False,False,True,False,False,False,True,False,False,True,True,False,True,common,17953,2,1,Masters Edition III,0.7
5029bc71-29bf-47cf-a64b-7ab3d9af39ca,Weakstone,Artifact,4,2011,False,False,False,False,False,False,True,False,False,True,False,True,True,uncommon,16274,-1,-1,Masters Edition IV,3.61
5aa9adcd-af58-4055-902c-806a2787c3bd,Theft of Dreams,Sorcery,3,2011,False,True,False,False,False,False,True,False,False,True,True,False,True,uncommon,8814,-1,-1,Masters Edition IV,0.14
e0de48b1-b61f-408e-915a-602309ded8ea,"Shizo, Death's Storehouse",Legendary Land,0,2020,False,False,True,False,False,False,True,True,False,True,False,False,True,rare,1208,-1,-1,Mystery Booster Retail Edition Foils,8.54
8f59b36f-d549-4a1e-940c-d0f20fc95576,Phyrexian Juggernaut,Artifact Creature — Juggernaut,6,2011,False,False,False,False,False,False,True,True,False,True,False,False,True,uncommon,5442,5,5,Duel Decks: Mirrodin Pure vs. New Phyrexia,0.19
57cf7b53-a427-4513-abe8-4a9195e92828,Talisman of Progress,Artifact,2,2011,True,True,False,False,False,False,True,True,False,True,False,False,True,uncommon,536,-1,-1,Duel Decks: Mirrodin Pure vs. New Phyrexia,7.04
62909d11-9d2f-42a7-9b73-6b494bbe3f9e,Krovikan Sorcerer,Creature — Human Wizard,3,2014,False,True,False,False,False,False,True,False,False,True,True,False,True,common,13348,1,1,Vintage Masters,0.09
